Processing trace...
cycle	uop  Src1 (ready?)	Src2 (ready?)	DestReg	LdSt	contents-of-the-scoreboard BrSt
    0    1	-1 (Ready)	-1 (Ready)	-> 13	-	-------------1------------------------------------ -
    0    2	-1 (Ready)	-1 (Ready)	-> 13	-	-------------1------------------------------------ -
    1    2	-1 (Ready)	-1 (Ready)	-> 13	-	-------------1------------------------------------ -
    1    3	-1 (Ready)	 5 (Ready)	-> 45	L	-------------1-------------------------------2---- -
    1    4	45 (NotReady)	 3 (Ready)	-> 44	-	-------------1-------------------------------2---- -
    2    4	45 (NotReady)	 3 (Ready)	-> 44	-	---------------------------------------------1---- -
    3    4	45 (Ready)	 3 (Ready)	-> 44	-	--------------------------------------------1----1 -
    3    5	-1 (Ready)	 5 (Ready)	->  3	L	---2----------------------------------------1----1 -
    3    6	-1 (Ready)	-1 (Ready)	->  0	-	1--2----------------------------------------1----1 -
    4    7	-1 (Ready)	-1 (Ready)	->  0	-	1--1---------------------------------------------- -
    4    8	-1 (Ready)	-1 (Ready)	-> 12	-	1--1--------1------------------------------------- -
    4    9	13 (Ready)	 0 (NotReady)	-> 13	-	1--1--------1------------------------------------- -
    5    9	13 (Ready)	 0 (Ready)	-> 13	-	-------------1-----------------------------------1 -
    5   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------1-----------------------------------1 5
    5   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------1-----------------------------------1 5
    6   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
    7   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
    8   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
    9   10	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   10   11	-1 (Ready)	 3 (Ready)	->  0	L	2------------------------------------------------- -
   10   12	 0 (NotReady)	 0 (NotReady)	-> 44	-	2------------------------------------------------- -
   11   12	 0 (NotReady)	 0 (NotReady)	-> 44	-	1------------------------------------------------- -
   12   12	 0 (Ready)	 0 (Ready)	-> 44	-	--------------------------------------------1----1 -
   12   13	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   13   13	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- -
   13   14	-1 (Ready)	 0 (Ready)	->  7	L	-------2------------------------------------------ -
   13   15	-1 (Ready)	 7 (NotReady)	-> 44	L	-------2------------------------------------------ -
   14   15	-1 (Ready)	 7 (NotReady)	-> 44	L	-------1------------------------------------------ -
   15   15	-1 (Ready)	 7 (Ready)	-> 44	L	--------------------------------------------2----- -
   15   16	44 (NotReady)	-1 (Ready)	->  0	-	--------------------------------------------2----- -
   16   16	44 (NotReady)	-1 (Ready)	->  0	-	--------------------------------------------1----- -
   17   16	44 (Ready)	-1 (Ready)	->  0	-	1------------------------------------------------- -
   17   17	 0 (NotReady)	-1 (Ready)	-> 44	-	1------------------------------------------------- -
   18   17	 0 (Ready)	-1 (Ready)	-> 44	-	--------------------------------------------1----1 -
   18   18	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   19   18	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- -
   19   19	-1 (Ready)	-1 (Ready)	->  6	-	------1------------------------------------------- -
   19   20	-1 (Ready)	-1 (Ready)	-> 44	-	------1-------------------------------------1----- -
   20   21	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   20   22	44 (Ready)	 4 (NotReady)	-> -1	S	----1--------------------------------------------- -
   21   22	44 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   21   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   21   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   22   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   23   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   24   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   25   23	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   26   24	15 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   26   25	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   26   26	14 (Ready)	 4 (NotReady)	-> -1	S	----1--------------------------------------------- -
   27   26	14 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   27   27	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   27   28	13 (Ready)	 4 (NotReady)	-> -1	S	----1--------------------------------------------- -
   28   28	13 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   28   29	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   28   30	 7 (Ready)	-1 (Ready)	-> 13	-	----1--------1------------------------------------ -
   29   31	12 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   29   32	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   29   33	 6 (Ready)	-1 (Ready)	-> 12	-	----1-------1------------------------------------- -
   30   34	 5 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   30   35	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   30   36	 3 (Ready)	 4 (NotReady)	-> -1	S	----1--------------------------------------------- -
   31   36	 3 (Ready)	 4 (Ready)	-> -1	S	-------------------------------------------------- -
   31   37	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   31   38	 4 (NotReady)	-1 (Ready)	->  4	-	----1--------------------------------------------- -
   32   38	 4 (Ready)	-1 (Ready)	->  4	-	----1--------------------------------------------1 -
   32   39	-1 (Ready)	 7 (Ready)	-> 44	L	----1---------------------------------------2----1 -
   32   40	44 (NotReady)	-1 (Ready)	->  0	-	----1---------------------------------------2----1 -
   33   40	44 (NotReady)	-1 (Ready)	->  0	-	--------------------------------------------1----- -
   34   40	44 (Ready)	-1 (Ready)	->  0	-	1------------------------------------------------- -
   34   41	 0 (NotReady)	-1 (Ready)	-> 44	-	1------------------------------------------------- -
   35   41	 0 (Ready)	-1 (Ready)	-> 44	-	--------------------------------------------1----1 -
   35   42	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   36   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   36   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   37   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   38   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   39   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   40   42	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   41   43	-1 (Ready)	 7 (Ready)	->  5	L	-----2-------------------------------------------- -
   41   44	 5 (NotReady)	-1 (Ready)	-> 44	-	-----2-------------------------------------------- -
   42   44	 5 (NotReady)	-1 (Ready)	-> 44	-	-----1-------------------------------------------- -
   43   44	 5 (Ready)	-1 (Ready)	-> 44	-	--------------------------------------------1----1 -
   43   45	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   44   45	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- -
   44   46	-1 (Ready)	-1 (Ready)	-> 45	-	---------------------------------------------1---- -
   44   47	-1 (Ready)	45 (NotReady)	-> 45	L	---------------------------------------------1---- -
   45   47	-1 (Ready)	45 (Ready)	-> 45	L	---------------------------------------------2---- -
   45   48	 5 (Ready)	45 (NotReady)	-> 44	-	---------------------------------------------2---- -
   46   48	 5 (Ready)	45 (NotReady)	-> 44	-	---------------------------------------------1---- -
   47   48	 5 (Ready)	45 (Ready)	-> 44	-	--------------------------------------------1----1 -
   47   49	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   48   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   48   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   49   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   50   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   51   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   52   49	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   53   50	-1 (Ready)	-1 (Ready)	-> 44	-	--------------------------------------------1----- -
   53   51	-1 (Ready)	44 (NotReady)	->  2	L	--------------------------------------------1----- -
   54   51	-1 (Ready)	44 (Ready)	->  2	L	--2----------------------------------------------- -
   54   52	 2 (NotReady)	 2 (NotReady)	-> 44	-	--2----------------------------------------------- -
   55   52	 2 (NotReady)	 2 (NotReady)	-> 44	-	--1----------------------------------------------- -
   56   52	 2 (Ready)	 2 (Ready)	-> 44	-	--------------------------------------------1----1 -
   56   53	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   57   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   57   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   58   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   59   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   60   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   61   53	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   62   54	-1 (Ready)	 2 (Ready)	-> 12	L	------------2------------------------------------- -
   62   55	12 (NotReady)	-1 (Ready)	-> 12	-	------------2------------------------------------- -
   63   55	12 (NotReady)	-1 (Ready)	-> 12	-	------------1------------------------------------- -
   64   55	12 (Ready)	-1 (Ready)	-> 12	-	------------1------------------------------------1 -
   64   56	-1 (Ready)	-1 (Ready)	-> 45	-	------------1--------------------------------1---1 -
   64   57	-1 (Ready)	45 (NotReady)	-> 45	L	------------1--------------------------------1---1 -
   65   57	-1 (Ready)	45 (Ready)	-> 45	L	---------------------------------------------2---- -
   65   58	 5 (Ready)	45 (NotReady)	-> 44	-	---------------------------------------------2---- -
   66   58	 5 (Ready)	45 (NotReady)	-> 44	-	---------------------------------------------1---- -
   67   58	 5 (Ready)	45 (Ready)	-> 44	-	--------------------------------------------1----1 -
   67   59	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   68   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   68   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   69   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   70   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   71   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   72   59	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
   73   60	-1 (Ready)	-1 (Ready)	-> 44	-	--------------------------------------------1----- -
   73   61	-1 (Ready)	44 (NotReady)	->  2	L	--------------------------------------------1----- -
   74   61	-1 (Ready)	44 (Ready)	->  2	L	--2----------------------------------------------- -
   74   62	 2 (NotReady)	 2 (NotReady)	-> 44	-	--2----------------------------------------------- -
   75   62	 2 (NotReady)	 2 (NotReady)	-> 44	-	--1----------------------------------------------- -
   76   62	 2 (Ready)	 2 (Ready)	-> 44	-	--------------------------------------------1----1 -
   76   63	-1 (Ready)	-1 (Ready)	-> -1	-	--------------------------------------------1----1 -
   77   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   77   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 5
   78   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 4
   79   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 3
   80   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 2
   81   63	-1 (Ready)	-1 (Ready)	-> -1	-	-------------------------------------------------- 1
